Identifier,Name,Description,Organisational Structure,Primary Activity,Activities,Combined Activities,Street Address,Locality,Region,Postcode,Country ID,Territory ID,Website,Phone,Email,Twitter,Facebook,Companies House Number,Qualifiers,Membership Type,Latitude,Longitude,Geo Container,Geo Container Latitude,Geo Container Longitude,Relationship
3FInPQhBl8CNx0,South Oxford Farmers Market,"The South Oxford Farmers and Community Market (SOFACOMA) is a weekly market selling ethically-produced local, seasonal and/or organic food and non-food goods. We define ‘local’ as being produced within a 30-mile radius of Oxford; and ‘produced’ as containing a significant quantity of local ingredients and labour. The South Oxford Farmers and Community Market is an initiative of the Low Carbon South Oxford (LCSO) Sustainable Food Group which supports the promotion of local food as a way of helping to combat climate change by reducing the amount of carbon released in the transport of food over long distances.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS10,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM60,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM70,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM60;https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM70,South Oxford Community Centre;Lake Street,Oxford,,OX1 4RP,GB,,http://www.southoxfordfarmersmarket.org.uk/,,"",,,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX14RP,51.739299,-1.256146,""
3NBx9Qzw208iDv,Orinoco Scrapstore,"Our mission is to banish boredom and save the planet using creativity and play to inspire the reuse of materials. Over its 25 year history, Orinoco has saved lorry loads of interesting resources from ending up in landfill.

Our Scrapstores in Banbury (open 10am – 4pm on Tue, Wed, Thu, Fri, Sat) and Templars Square Cowley (open from 12am until 4pm on Tue, 10am until 4pm on Wed, Thu, Fri, Sat ) sell scrap items for art, crafts, play and creative projects as well as new art materials, refurbished tools and DIY stuff.

You don’t have to be a member to shop with us, just come along to the store and join in. We are here for everyone: mums, dads, children, young people, teachers, childcare professionals, artists…

We collect suitable waste materials from businesses for potential reuse. If your company is paying good money to throw stuff away it’s worth calling us to see if we can help find a better use for your rubbish.
We accept usable garden and workshop tools, small electrical items for repair.
For more info call 01865 761113, email or check our Banbury or Oxford Facebook pages.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS20;https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS40,,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM70;https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM10,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM70;https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM10,"111-113 Pound Way, Templars Square Shopping Centre, Oxford, OX4 3XH ",Oxford,,OX4 3XH,GB,,https://orinocoscrapstore.wordpress.com/,,"",,,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX43XH,51.731766,-1.217535,""
3zCX6pogYX7g1w,My Life My Choice,"My Life My Choice is a user-led Oxfordshire based self-advocacy organisation. We raise the self-esteem, confidence and quality of life for people with learning disabilities by providing training, employment, volunteering and social opportunities for our members.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS10;https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS20;https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS40,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM20,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM10;https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM30;https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM80,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM20;https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM10;https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM30;https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM80,Unit 3;Watlington House;Watlington Road,Oxford,,OX4 6NF,GB,,http://www.mylifemychoice.org.uk,,"",,,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX46NF,51.727318,-1.195388,""
5XelG8rpne78l1,Communi-tea Cafe,A friendly community cafe in Blackbird Leys serving breakfasts and tasty Caribbean food.,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS20;https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS40,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM60,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM30,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM60;https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM30,1 Cuddesdon Way;Blackbird Leys,Oxford,,OX4 6JH,GB,,http://www.holyfamilybbl.co.uk/communi-tea-cafe,,"",,,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX46JH,51.721000,-1.201088,""
7KtFzRMbiT8NST,Solidarity Economy Association,"We give communities committed to economic and social justice the confidence to create or join initiatives that live and breathe the values of the solidarity economy: democracy, social justice, ecological sustainability, and co-operation.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS100,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM30,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM40;https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM70,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM30;https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM40;https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM70,fake address,Oxford,,OX2 6TP,GB,,https://www.solidarityeconomy.coop/,,"",,,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX26TP,51.767832,-1.269632,Consortium Partner;Steering Group;ObO Staff Team;Support Organisation
7q9N1RbuP4lzvO,Oxford Community Action Kitchen,"OCA Kitchen is Oxford’s most diverse and wide-ranging catering service. Whether you’d like to enjoy food from Afghanistan, Tanzania, Palestine, Pakistan, Algeria, Nigeria, Somalia, the Caribbean or Iraq – we’ve got it! Our chefs have been cooking up storms in their kitchens for decades. Now, they are thrilled to share their most special dishes with you. All profits generated by OCA Kitchen go back into OCA and the community. Interested? Get in touch – we’d love to cook for you.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS120,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM60,,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM60,"Rymers Ln, Oxford ",Oxford,,OX4 3JZ,GB,,https://oxfordcommunityaction.org/oca-kitchen/,,"",,,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX43JZ,51.735759,-1.221854,Enterprise or Initiative
8Yug5F2aPR6cjk,ACKHI (African & African Caribbean Kultural Heritage Initiative),"We established ACKHI in 2003 as a not-for-profit Black Afrikan led community organization, to promote, protect and preserve the history, heritage and culture, of peoples of Black African heritage living and/or working in Oxfordshire, as well as Black Afrika’s contributions to world development.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS20,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM10,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM20,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM10;https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM20,"Caribbean Living Room, 58 Between Towns Rd",Oxford,,OX4 3LR,GB,,https://ackhi.org/about-us/,,"",,,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX43LR,51.732402,-1.217162,Community Anchor Organisation;Community Activist or Innovator;Enterprise or Initiative
8pMyn7BbwqbgXj,Headington Fairtrade Coop,,,,,"",72 St Leonards Road Headington,Oxford,,OX3 8AB,GB,,http://www.headingtonfairtrade.org.uk,,"",,,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX38AB,51.759427,-1.207350,""
8sI4og6V9zbCRA,Agile Collective,"Agile Collective is an ethical digital agency and worker co-operative with an experienced team based in the UK and Italy. We work exclusively with organisations that have a positive impact in the world, and our clients are most often drawn from the charity, NGO, education and public sectors. We work with open source software and agile delivery methodologies and place a strong emphasis on user experience. Our core technology is the leading open source content management system (CMS), Drupal, but from time to time we also work with other open source platforms including Wordpress.
As a company with a conscience, we contribute to our communities, minimise our environmental impact, value fairness and transparency, and ensure sustainability in our working practices.",https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS60,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM70,,https://dev.lod.coop/essglobal/2.1/standard/activities-modified/AM70,"Makespace Central, 21b Park End Street, Oxford, OX1 1HU,",Oxford,,OX1 1HU,GB,,https://agile.coop,,"",,,,,,,,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX11HU,51.752504,-1.268489,""
9eZ1OGwGmdivba,South Oxford Adventure Playground,,,,,"","South Oxford Adventure Playground, Whitehouse Road",Oxford,,OX1 4PA,GB,,http://www.soapoxford.org.uk,,"",,,,,,51.74281,-1.26097,http://data.ordnancesurvey.co.uk/id/postcodeunit/OX14PA,51.743405,-1.257107,""
